ID_Cliente,Idade,Anos_Experiencia,Renda_Anual_Mil,CEP,Tamanho_Familia,Gasto_Medio_Cartao,Escolaridade,Valor_Hipoteca,Aceitou_Emprestimo,Conta_Investimento,Conta_CD,Usa_Internet_Banking,Tem_Cartao_Credito_Banco,Segmento_Renda,Perfil_Gasto,Propensao_Emprestimo
1,25,1,49,91107,4,1.6,1,0,0,1,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
2,45,19,34,90089,3,1.5,1,0,0,1,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
3,39,15,11,94720,1,1.0,1,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
4,35,9,100,94112,1,2.7,2,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
5,35,8,45,91330,4,1.0,2,0,0,0,0,0,1,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
6,37,13,29,92121,4,0.4,2,155,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
7,53,27,72,91711,2,1.5,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
8,50,24,22,93943,1,0.3,3,0,0,0,0,0,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
9,35,10,81,90089,3,0.6,2,104,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
10,34,9,180,93023,1,8.9,3,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
11,65,39,105,94710,4,2.4,3,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
12,29,5,45,90277,3,0.1,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
13,48,23,114,93106,2,3.8,3,0,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
14,59,32,40,94920,4,2.5,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
15,67,41,112,91741,1,2.0,1,0,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
16,60,30,22,95054,1,1.5,3,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
17,38,14,130,95010,4,4.7,3,134,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
18,42,18,81,94305,4,2.4,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
